2020-08-11 18:00:54,030 [Worker-123] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-08-11 18:00:54,058 [Worker-123] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-08-11 18:00:54,314 [Worker-123] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 8 resources
2020-08-11 18:07:05,621 [Worker-119] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-08-11 18:07:11,242 [Worker-119] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-08-11 18:07:11,248 [Worker-119] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-08-11 18:07:17,204 [Worker-119] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 8 resources
2020-08-11 18:15:04,379 [Worker-135] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-08-11 18:15:04,758 [Worker-135] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-08-11 18:15:04,763 [Worker-135] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-08-11 18:15:04,814 [Worker-135] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2020-08-11 18:15:06,864 [Worker-135] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-08-11 18:15:09,629 [Worker-135] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-08-11 18:15:09,649 [Worker-135] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
